ts,tps,cum_tps,r_iops,w_iops,hit_ratio,hit_ratio_gc,edt_gap,rmb_s,wmb_s,ewmb_s,cpwmb_s,dwbw_mb,gcwmb_s,gcrmb_s,valid_ratio,comp_ratio,logmb_s,wal_sz,db_sz,alloc_sz,mem_mb,cum_flash_wmb,db_waf,ssd_run_waf,ssd_cum_waf,version
48,94856,3719470,62328,130498,0.890,0.000,0,243.469,509.758,254.879,0.000,254.879,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,49383.902,2.000,1.950,1.998,0
49,99611,3819081,65323,127864,0.890,0.000,0,255.168,499.469,244.703,0.000,254.766,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,50386.430,2.000,2.007,1.998,0
50,101232,3920313,65525,127592,0.892,0.000,0,255.957,498.406,249.039,0.000,249.367,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,51368.590,2.000,1.971,1.998,0
51,99187,4019500,63713,127796,0.892,0.000,0,248.879,499.203,254.797,0.000,244.406,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,52380.238,2.000,2.027,1.998,0
52,99200,4118700,63195,129672,0.893,0.000,0,246.855,506.531,251.980,0.000,254.551,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,53395.500,2.000,2.004,1.998,0
53,103439,4222139,65522,130024,0.894,0.000,0,255.945,507.906,253.348,0.000,254.559,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110415.836,54412.699,2.000,2.003,1.998,0
54,104676,4326815,65513,127452,0.895,0.000,0,255.910,497.859,243.535,0.000,254.324,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110417.336,55380.371,2.000,1.944,1.997,0
55,105552,4432367,65505,128314,0.896,0.000,0,255.879,501.227,252.988,0.000,248.238,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110417.336,56385.195,2.000,2.005,1.998,0
56,98990,4531357,61427,127049,0.896,0.000,0,239.949,496.285,251.633,0.000,244.652,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110417.336,57384.020,2.000,2.013,1.998,0
57,107010,4638367,65507,125478,0.897,0.000,0,255.887,490.148,240.992,0.000,249.156,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110417.336,58371.172,2.000,2.014,1.998,0
58,102633,4741000,62102,127575,0.898,0.000,0,242.586,498.340,254.672,0.000,243.668,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110417.336,59382.012,2.000,2.028,1.999,0
59,107274,4848274,64856,128973,0.898,0.000,0,253.344,503.801,249.254,0.000,254.547,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110417.336,60397.461,2.000,2.016,1.999,0
